"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Bomstasjonstype";"Navn bompengeanlegg (fra CS)";"Navn bomstasjon";"Vedtatt til år";"Link til bomstasjon";"Innkrevningsretning";"Bomstasjon_Id";"Bompengeanlegg_Id";"Takst liten bil";"Takst stor bil";"Tidsdifferensiert takst";"Rushtidstakst liten bil";"Rushtidstakst stor bil";"Rushtid morgen, fra";"Rushtid morgen, til";"Rushtid ettermiddag, fra";"Rushtid ettermiddag, til";"Timesregel";"Timesregel, varighet";"Timesregel, passeringsgruppe";"Gratis gjennomkjøring ved HC-brikke";"Etableringsår";"Tilleggsinformasjon";"Prosjektreferanse";"Eier";"Vedlikeholdsansvarlig";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"79786595";"45";"10";"2019-08-02";"2019-10-31T22:52:38";"AutoPASS + automatisk";"Ferde AS - Fv. 45 Gjesdal";"Øvstabø";;"www.gjesdalbompengeselskap.no";"Begge retninger";"1";"4";"60";"79";"Nei";;;;;;;"Ikke timesregel";;;"Nei";;;;;;;"Gjesdal";"Rogaland";"VEST";"Rogaland";"";"1153 ELEKTRO,1153 ELEKTRO,1102 HØGSFJORD 2009-2014,1102 Høgsfjord 2015-2020,1153 Sør Rogaland 2018-2023,Kontrollrute 1 - 1102 Høgsfjord";"1100 Fv45 hp1 m10305";"11";"0";"F";"V";"45";"1";"1";"10305";;"320617 0.16417875 0.16417875 WITH 1#2 ";"POINT Z (8106.68059 6552587.83948 380.73347)";"6173"
"82443541";"45";"9";"2019-01-10";"2019-11-01T08:53:05";"AutoPASS + automatisk";"Ferde AS - Bomringen Bergen";"Sandviken";;"www.ferde.no";"Med metrering";"1";"24";"30";"70";"Ja";"56";"123";"06:30";"08:59";"14:30";"16:29";"Standard timesregel";"60";"240016";;;;;;;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,1256 ELEKTRO,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Ev39 hp13 m2638";"12";"0";"E";"V";"39";"13";"13";"2638";;"805617 0.00836412 0.00836412 WITH 1#3 ";"POINT Z (-32178.72675 6737228.44247 31.79574)";"6173"
"82483423";"45";"8";"2019-01-10";"2019-10-22T22:17:53";"AutoPASS + automatisk";"Ferde AS - Bomringen Bergen";"Gyldenpris";;"www.ferde.no";"Med metrering";"5";"24";"30";"70";"Ja";"56";"123";"06:30";"08:59";"14:30";"16:29";"Standard timesregel";"60";"240016";;;;;;;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,T1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Rv555 hp72 m41120";"12";"0";"R";"V";"555";"72";"72";"41120";;"805015 0.61284927 0.61284927 WITH 1 ";"POINT Z (-32637.9184 6733197.69598 17.336)";"6173"
"82559832";"45";"9";"2019-01-10";"2019-11-01T08:53:05";"AutoPASS + automatisk";"Ferde AS - Bomringen Bergen";"Straume";;"www.ferde.no";"Mot metrering";"8";"24";"30";"70";"Ja";"56";"123";"06:30";"08:59";"14:30";"16:29";"Standard timesregel";"60";"240016";;;;;;;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Fv556 hp3 m5263";"12";"0";"F";"V";"556";"3";"3";"5263";;"805716 0.20441435 0.20441435 WITH 1#2 ";"POINT Z (-36045.96429 6727021.84143 5.2)";"6173"
"82559833";"45";"8";"2019-01-10";"2019-10-31T22:52:38";"AutoPASS + automatisk";"Ferde AS - Bomringen Bergen";"Gravdal";;"www.ferde.no";"Mot metrering";"7";"24";"30";"70";"Ja";"56";"123";"06:30";"08:59";"14:30";"16:29";"Standard timesregel";"60";"240016";;;;;;;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,1201 Asola tillegg 2020-2023";"1200 Rv555 hp4 m2638";"12";"0";"R";"V";"555";"4";"4";"2638";;"805707 0.42898864 0.42898864 WITH 2#4 ";"POINT Z (-35230.75777 6733476.926 15.08783)";"6173"
"82559834";"45";"8";"2019-01-10";"2019-06-03T13:48:37";"AutoPASS + automatisk";"Ferde AS - Bomringen Bergen";"Fyllingen";;"www.ferde.no";"Mot metrering";"6";"24";"30";"70";"Ja";"56";"123";"06:30";"08:59";"14:30";"16:29";"Standard timesregel";"60";"240016";;;;;;;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Fv540 hp2 m2361";"12";"0";"F";"V";"540";"2";"2";"2361";;"804949 0.88589994 0.88589994 WITH 2 ";"POINT Z (-33905.15497 6731397.73746 96.7)";"6173"
"82559836";"45";"9";"2019-01-10";"2019-11-01T08:53:05";"AutoPASS + automatisk";"Ferde AS - Bomringen Bergen";"Nyebroen";;"www.ferde.no";"Med metrering";"4";"24";"30";"70";"Ja";"56";"123";"06:30";"08:59";"14:30";"16:29";"Standard timesregel";"60";"240016";;;;;;;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Ev39 hp14 m382";"12";"0";"E";"V";"39";"14";"14";"382";;"805616 0.20136898 0.20136898 WITH 1#3#5 ";"POINT Z (-31572.62982 6732758.28647 10.24466)";"6173"
"82559837";"45";"11";"2019-09-09";"2019-11-01T08:53:05";"AutoPASS + automatisk";"Ferde AS - Bomringen Bergen";"Kalfaret";;"www.ferde.no";"Med metrering";"2";"24";"30";"70";"Ja";"56";"123";"06:30";"08:59";"14:30";"16:29";"Standard timesregel";"60";"240016";;;;;;;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Fv585 hp2 m5460";"12";"0";"F";"V";"585";"2";"2";"5460";;"805748 0.73590199 0.73590199 WITH 1 ";"POINT Z (-31178.63557 6733816.8734 15.06241)";"6173"
"82666851";"45";"3";"2013-03-06";"2019-09-17T15:09:24";"AutoPASS + automatisk";"Ferde AS - Stordalstunnelen";"E134 Åkrafjorden";;"www.e134akrafjorden.no";;"1";"31";"41";"56";;;;;;;;;;;;;"N/A";"N/A";"Stat, Statens vegvesen";"Statens vegvesen";;"Etne";"Hordaland";"VEST";"Hordaland";"RUTE5A 2010-2019,RUTE5A 2014-2023 / 2018-2029";"1105 INDRE RYFYLKE 2010-2015,1258 ELEKTRO,1105 Indre Ryfylke 2015-2020,1261 Voss og Hardanger 2016-2021,1258 Sunnhordland og Nord-Rogaland 2011-2016";"1200 Ev134 hp4 m9845";"12";"0";"E";"V";"134";"4";"4";"9845";;"805631 0.98707713 0.98707713 WITH 1#2 ";"POINT Z (16277.03074 6666409.91701 24.72422)";"6173"
"85374305";"45";"8";"2019-01-30";"2019-10-19T09:08:21";"AutoPASS + automatisk";"Vegamot AS";"Leistad";;"www.vegamot.no";"Med metrering";"73";"64";"16";"24";"Nei";;;;;;;"Ikke timesregel";;;"Nei";;;;;;"POINT (282139.71660693 7040113.09293828 101.199996948242)";"Malvik";"Trøndelag";"MIDT";"Trøndelag";"RUTE7 2010-2019,RUTE7 2014-2023 / 2018-2029";"1606 Malvik Selbu Klæbu 2015-2020,E1651 Tunnel Trøndelag 2016-2020,1634 Rotvoll - Hommelvik 2016-2020,Driftskontrakt riksveg Trøndelag sør 2020-2025,DK riksveg Trøndelag sør vegnett fra 1.9.2022";"5000 Ev6 hp96 m32162";"50";"0";"E";"V";"6";"96";"96";"32162";;"72223 0.58720622 0.58720622 WITH N/A ";"POINT Z (282140.17167 7040117.41042 101.2)";"6173"
